Plurals              Percentages 
yards                65.625 
muskets              33.3333333333 
testings             3.0303030303 
passengers           60.0 
dusts                1.44927536232 
plunges              14.2857142857 
saws                 0.847457627119 
vectors              26.9230769231 
Associates           5.26315789474 
irregulars           10.0 
studies              27.4096385542 
carpets              23.5294117647 
tasks                33.3333333333 
Policies             0.460829493088 
shipmates            33.3333333333 
Fractions            4.7619047619 
predictions          23.0769230769 
imaginations         1.51515151515 
Inmates              50.0 
films                24.5901639344 
sonnets              40.0 
marbles              13.6363636364 
Proposals            2.43902439024 
transoms             10.5263157895 
scratches            40.0 
riders               31.5789473684 
Rebs                 71.4285714286 
Relatives            2.12765957447 
flannels             20.0 
values               47.5195822454 
Anglo-Americans      33.3333333333 
parishes             9.09090909091 
mirrors              3.22580645161 
frogs                50.0 
teaspoons            42.8571428571 
locks                22.5806451613 
hides                14.8148148148 
silos                66.6666666667 
dooms                25.0 
subroutines          50.0 
extensions           12.8205128205 
applications         27.5862068966 
data                 51.6129032258 
lids                 17.3913043478 
equilibriums         7.14285714286 
varieties            8.69565217391 
sectors              43.4782608696 
telegraphers         50.0 
subdivisions         11.1111111111 
definitions          12.5 
wolves               44.4444444444 
wavelengths          60.0 
flips                20.0 
years                59.4303797468 
professors           33.3333333333 
anti-Semites         60.0 
episodes             33.3333333333 
experiments          50.0 
lovelies             2.22222222222 
limbs                55.5555555556 
Nymphomaniacs        20.0 
troubles             13.5483870968 
decreases            4.34782608696 
creations            6.3829787234 
dwarfs               16.6666666667 
Pitchers             4.54545454545 
decades              42.5 
parades              7.40740740741 
recipients           41.6666666667 
executors            50.0 
matches              16.6666666667 
subordinates         60.0 
thyroids             2.63157894737 
records              36.6972477064 
epithets             77.7777777778 
runners              83.3333333333 
commands             15.2777777778 
roasts               9.09090909091 
crushers             50.0 
internationalists    33.3333333333 
veins                19.3548387097 
manors               25.0 
orphans              50.0 
controversies        13.3333333333 
sit-ins              50.0 
growths              0.662251655629 
Khrushchevs          2.85714285714 
compulsives          28.5714285714 
salads               18.1818181818 
disasters            13.3333333333 
collisions           22.2222222222 
Drums                9.09090909091 
Ivies                66.6666666667 
superiors            11.4285714286 
joiners              25.0 
curbs                18.75 
prostitutes          33.3333333333 
secessionists        33.3333333333 
incentives           26.6666666667 
recordings           25.641025641 
poems                61.6 
Averages             0.769230769231 
pimps                40.0 
silhouettes          55.5555555556 
routes               17.1428571429 
spokes               2.24719101124 
exaggerations        16.6666666667 
Gains                1.3698630137 
appreciations        4.34782608696 
runways              50.0 
judgements           50.0 
twenties             6.97674418605 
constants            5.55555555556 
Feds                 2.38095238095 
bits                 9.82142857143 
slashes              25.0 
partings             20.0 
sentinels            50.0 
tombstones           33.3333333333 
specialists          55.8823529412 
storehouses          25.0 
meteors              57.1428571429 
favors               6.81818181818 
brutalities          7.14285714286 
coats                18.8679245283 
Athenians            66.6666666667 
Businesses           0.277777777778 
wins                 4.91803278689 
thousandths          25.0 
afternoons           10.9243697479 
jewels               75.0 
tastes               7.46268656716 
politicos            50.0 
nymphs               50.0 
warriors             58.3333333333 
snowballs            33.3333333333 
Innuendos            50.0 
backyards            75.0 
microwaves           33.3333333333 
Newcomers            30.0 
Concessionaires      33.3333333333 
remarks              51.2820512821 
pages                32.2916666667 
Lands                0.485436893204 
bads                 0.704225352113 
stilts               50.0 
infections           38.4615384615 
exaltations          50.0 
Decisions            0.833333333333 
laws                 23.7704918033 
glycols              33.3333333333 
schoolmates          66.6666666667 
peaches              33.3333333333 
Systems              0.507614213198 
urgings              16.6666666667 
Wants                0.508905852417 
ensembles            25.0 
tears                74.4186046512 
blinds               6.12244897959 
Guns                 0.847457627119 
suitcases            20.0 
genera               33.3333333333 
battalions           33.3333333333 
skiffs               30.7692307692 
originals            1.92307692308 
pickers              75.0 
settings             13.0434782609 
cords                25.0 
hinges               60.0 
fenders              20.0 
resins               18.1818181818 
worries              20.0 
corridors            10.5263157895 
Juniors              3.0303030303 
subversives          33.3333333333 
Maneuvers            16.6666666667 
driveways            6.66666666667 
mystics              50.0 
impressions          34.7826086957 
dives                11.5384615385 
rages                5.88235294118 
compounds            55.5555555556 
Hitlers              11.1111111111 
sites                20.253164557 
mops                 25.0 
moons                5.88235294118 
testimonials         33.3333333333 
teens                66.6666666667 
molds                13.4615384615 
decks                21.4285714286 
jobs                 21.2121212121 
awards               29.6296296296 
jets                 17.3913043478 
capacitors           33.3333333333 
congregations        28.5714285714 
nomias               66.6666666667 
concentrates         27.7777777778 
pastimes             20.0 
ants                 50.0 
cramps               50.0 
airlines             50.0 
motives              71.4285714286 
wants                1.51133501259 
lanes                16.6666666667 
readings             10.4575163399 
photos               44.4444444444 
rooftops             33.3333333333 
Analysts             12.5 
wales                25.0 
Poussins             33.3333333333 
polls                50.0 
pacers               75.0 
canoes               25.0 
policies             21.7391304348 
curricula            15.7894736842 
priests              50.0 
twists               22.7272727273 
Calculations         7.69230769231 
pinks                4.08163265306 
compatriots          50.0 
expenditures         80.7692307692 
missiles             38.6666666667 
coconuts             25.0 
wrappers             33.3333333333 
wires                22.641509434 
births               7.8431372549 
cheers               33.3333333333 
edges                32.4561403509 
psychiatrists        55.5555555556 
escorts              10.0 
peculiarities        80.0 
costs                39.4805194805 
trains               15.0537634409 
exacerbations        25.0 
barbecues            13.3333333333 
safeguards           16.6666666667 
Mexicans             35.2941176471 
omissions            50.0 
Markets              0.704225352113 
trimmings            66.6666666667 
blondes              4.7619047619 
excuses              3.33333333333 
shrines              44.4444444444 
dicks                5.26315789474 
skies                13.8461538462 
aspects              56.4814814815 
sums                 24.5901639344 
gestures             15.3846153846 
nutrients            71.4285714286 
souvenirs            33.3333333333 
tsunami              15.7894736842 
integrals            18.75 
offenders            50.0 
slings               50.0 
fives                0.754716981132 
cushions             20.0 
Pasterns             10.0 
pickles              50.0 
composers            27.9069767442 
scandals             58.3333333333 
scholarships         18.6046511628 
dimensions           65.1162790698 
memories             16.4835164835 
tubs                 27.7777777778 
transformers         66.6666666667 
antiquities          33.3333333333 
biases               11.1111111111 
ratios               34.6153846154 
punishments          8.69565217391 
origins              14.2857142857 
swarms               25.0 
disabilities         28.5714285714 
masterpieces         9.09090909091 
Pains                1.12359550562 
parties              23.2 
objectors            33.3333333333 
bibliographies       66.6666666667 
peonies              40.0 
bristles             42.8571428571 
bookcases            33.3333333333 
meals                46.4285714286 
myths                15.0 
slopes               26.9230769231 
continents           38.8888888889 
wits                 20.0 
longings             16.6666666667 
Doctors              2.24719101124 
Charts               5.55555555556 
beginners            50.0 
mice                 50.0 
housewives           50.0 
coloreds             3.22580645161 
rehabilitations      4.7619047619 
rags                 50.0 
abuses               30.4347826087 
dependents           4.7619047619 
trips                26.8518518519 
regimes              8.0 
wards                7.69230769231 
galleys              50.0 
watches              3.57142857143 
washings             4.54545454545 
clauses              30.7692307692 
drafts               15.7894736842 
contemporaries       8.69565217391 
thoroughfares        25.0 
Israelites           50.0 
Employees            4.16666666667 
a.                   0.943396226415 
gifts                25.5813953488 
herbs                27.2727272727 
planners             86.6666666667 
Coolidges            10.3448275862 
tricks               31.8181818182 
acids                35.0 
Hens                 4.54545454545 
tales                47.5 
legislatures         7.69230769231 
axles                16.6666666667 
consciences          2.5 
instincts            22.2222222222 
bosoms               11.1111111111 
tours                18.3673469388 
oaths                33.3333333333 
disciples            55.5555555556 
riots                12.5 
prophets             50.0 
Entries              4.0 
wavers               25.0 
documentaries        33.3333333333 
puzzles              23.0769230769 
scapegoats           50.0 
showings             3.1746031746 
linguists            52.6315789474 
enmities             50.0 
Anabaptists          50.0 
groceries            20.0 
tosses               18.1818181818 
pretenses            14.2857142857 
penalties            22.2222222222 
fill-ins             66.6666666667 
carriages            31.25 
displays             24.1935483871 
theatergoers         50.0 
crests               20.0 
topcoats             33.3333333333 
disruptions          25.0 
fucks                20.0 
householders         50.0 
subspaces            12.5 
scientists           65.2173913043 
avenues              41.6666666667 
installations        57.1428571429 
hours                54.4025157233 
civilians            8.0 
phrasings            20.0 
reactionaries        5.26315789474 
roadways             16.6666666667 
anthropologists      33.3333333333 
reactors             46.1538461538 
rattlesnakes         62.5 
marriages            22.6890756303 
purveyors            50.0 
bunters              50.0 
launchings           25.0 
Elements             5.45454545455 
objectives           30.0 
pears                25.0 
telescopes           20.0 
Romans               18.0 
substances           35.4166666667 
Philippines          66.6666666667 
spoils               25.0 
Subways              14.2857142857 
initiates            14.2857142857 
jealousies           20.0 
pursuers             50.0 
Hardings             33.3333333333 
foundations          42.4242424242 
objections           41.935483871 
blemishes            33.3333333333 
glees                50.0 
industrialists       33.3333333333 
eras                 6.45161290323 
civilizations        9.3023255814 
generalists          66.6666666667 
memoirs              75.0 
impacts              4.28571428571 
libertines           50.0 
dislikes             5.55555555556 
clotheslines         50.0 
states               19.6301564723 
salts                12.0 
scoundrels           50.0 
hens                 12.5 
plans                31.3131313131 
10''                 66.6666666667 
treatments           8.14814814815 
conveniences         10.0 
waves                53.125 
Swiss                35.7142857143 
evaluations          14.7058823529 
acquisitions         10.5263157895 
premonitions         33.3333333333 
scoreboards          20.0 
bathtubs             20.0 
chemistries          7.14285714286 
tentacles            66.6666666667 
Signs                2.10526315789 
exclusions           12.5 
pans                 18.75 
passages             28.9855072464 
radios               5.88235294118 
resorts              7.69230769231 
replies              13.0434782609 
spirituals           1.5873015873 
sceneries            6.66666666667 
intensifiers         50.0 
roots                42.0 
deeds                43.75 
hounds               33.3333333333 
symptoms             73.6842105263 
Delawares            5.88235294118 
laces                12.5 
clefts               33.3333333333 
tyrants              33.3333333333 
maladies             66.6666666667 
weeds                83.3333333333 
Dwellers             33.3333333333 
assemblies           22.2222222222 
truths               3.14960629921 
Connections          1.44927536232 
courses              11.1111111111 
Sounds               1.33928571429 
investigators        76.4705882353 
reactions            25.9259259259 
bends                4.54545454545 
catalogues           27.2727272727 
critters             75.0 
grandmothers         11.1111111111 
incubi               50.0 
jellies              25.0 
bouquets             20.0 
blacks               1.0582010582 
misses               0.4 
armaments            80.0 
fishers              20.0 
densities            6.06060606061 
Eskimos              40.0 
antisera             33.3333333333 
Burgundies           16.6666666667 
pitfalls             25.0 
Cartoons             25.0 
rises                1.66666666667 
uplands              33.3333333333 
pairs                21.875 
submarines           42.2222222222 
Years                1.08024691358 
sensations           41.6666666667 
ft.                  37.5 
millennia            50.0 
fluxes               13.3333333333 
exertions            50.0 
heads                8.65800865801 
cradles              16.6666666667 
calculations         42.8571428571 
essays               29.6296296296 
sympathies           18.6046511628 
antibodies           42.8571428571 
cheekbones           83.3333333333 
spacings             14.2857142857 
stairs               95.8333333333 
freighters           20.0 
tablespoonfuls       25.0 
Toys                 28.5714285714 
fishermen            58.3333333333 
taxis                15.7894736842 
navigators           33.3333333333 
livers               5.88235294118 
refrigerators        8.0 
fights               1.96078431373 
odors                33.3333333333 
Avocados             10.0 
honeybees            66.6666666667 
presents             1.47058823529 
foals                33.3333333333 
bovines              33.3333333333 
auditions            40.0 
directives           66.6666666667 
knobs                33.3333333333 
fellers              50.0 
flatnesses           11.1111111111 
Utopians             13.6363636364 
deviations           22.2222222222 
coves                50.0 
researchers          57.1428571429 
fashions             4.22535211268 
amusements           22.2222222222 
harvests             16.6666666667 
Carolinas            11.1111111111 
ambiguities          43.75 
cruises              33.3333333333 
accommodations       88.8888888889 
bookings             14.2857142857 
Koreans              50.0 
Exports              10.0 
Patrolmen            11.1111111111 
calibers             27.2727272727 
hookups              33.3333333333 
giants               32.3529411765 
magicians            20.0 
beams                39.3939393939 
informants           33.3333333333 
reporters            62.7450980392 
plasters             4.16666666667 
Rabbits              8.33333333333 
sects                50.0 
pleasures            8.9552238806 
tumors               38.0952380952 
carbines             25.0 
weaves               40.0 
vertebrates          50.0 
Syllables            66.6666666667 
knees                53.5211267606 
vitamins             64.2857142857 
verbs                63.6363636364 
theatricals          14.2857142857 
triangles            20.0 
premises             53.3333333333 
nuisances            16.6666666667 
respondents          50.0 
Jobs                 0.425531914894 
follow-ups           11.1111111111 
identifications      4.54545454545 
agents               46.3414634146 
jowls                66.6666666667 
creeds               14.2857142857 
Peanuts              14.2857142857 
Applications         1.5625 
Students             5.88235294118 
Cars                 1.0989010989 
suburbs              55.1724137931 
citations            16.6666666667 
scions               50.0 
Hints                8.33333333333 
combatants           33.3333333333 
Polls                10.0 
silences             5.66037735849 
clergymen            37.5 
races                16.9491525424 
sleeves              38.8888888889 
bleats               50.0 
towns                19.8380566802 
ligands              66.6666666667 
presses              5.21739130435 
formats              20.0 
cages                18.1818181818 
trinkets             50.0 
motors               11.8644067797 
ducks                30.7692307692 
fibers               47.9166666667 
maids                30.7692307692 
ledgers              12.5 
involutions          25.0 
Fiats                11.1111111111 
Lines                1.03806228374 
Pakistanis           66.6666666667 
henchmen             66.6666666667 
levels               23.9285714286 
leaps                16.6666666667 
nouns                66.6666666667 
watercolorists       50.0 
commoners            50.0 
picks                1.69491525424 
Names                0.358422939068 
normals              0.729927007299 
theatres             5.0 
cabins               25.0 
Survivors            83.3333333333 
arrests              13.6363636364 
cuffs                66.6666666667 
readers              44.8717948718 
surprises            9.09090909091 
Stoics               25.0 
advertisements       60.0 
pillars              71.4285714286 
hues                 66.6666666667 
grapefruit           50.0 
parents              85.2631578947 
Platoons             12.5 
submissions          20.0 
clutches             25.0 
victims              41.3043478261 
demands              27.9220779221 
instructors          11.1111111111 
wives                6.58436213992 
hoods                28.5714285714 
hitters              66.6666666667 
baskets              11.7647058824 
colonials            6.66666666667 
Requests             5.55555555556 
projects             38.7096774194 
gaucheries           50.0 
facets               81.8181818182 
Regulars             1.25 
communications       27.4725274725 
individuals          23.3766233766 
yields               4.7619047619 
confinements         12.5 
Bones                2.94117647059 
tribes               73.3333333333 
conducts             1.72413793103 
methods              50.3816793893 
Dams                 20.0 
pals                 33.3333333333 
necessaries          0.456621004566 
sighs                8.33333333333 
thermostats          14.2857142857 
fools                9.75609756098 
festivals            14.2857142857 
Refunds              5.0 
stamens              33.3333333333 
stables              9.09090909091 
measurements         58.1081081081 
efficiencies         5.88235294118 
Foreigners           33.3333333333 
Congresses           0.77519379845 
shooters             20.0 
tankers              66.6666666667 
dictates             41.6666666667 
departures           29.1666666667 
impurities           81.8181818182 
shadings             20.0 
curriculums          5.88235294118 
Martians             37.5 
wrinkles             77.7777777778 
transients           25.0 
progressions         60.0 
forearms             25.0 
adverbs              66.6666666667 
enthusiasms          3.44827586207 
criticisms           22.0 
gases                6.79611650485 
Uses                 3.0303030303 
royalties            12.5 
inches               67.2268907563 
slums                46.6666666667 
deductions           52.6315789474 
intestines           50.0 
anteriors            16.6666666667 
inducements          33.3333333333 
nieces               11.1111111111 
bumpers              33.3333333333 
testaments           14.2857142857 
burrows              33.3333333333 
introjects           25.0 
thugs                66.6666666667 
codes                42.5 
conceptions          21.9512195122 
actors               38.4615384615 
scraps               27.2727272727 
sails                16.6666666667 
elements             66.0130718954 
beginnings           5.20231213873 
litigants            33.3333333333 
robots               75.0 
proclamations        33.3333333333 
ferries              33.3333333333 
resolutions          8.9552238806 
sides                20.9850107066 
leaflets             75.0 
articulations        50.0 
hells                1.0752688172 
destinies            12.0 
pedestrians          28.5714285714 
holes                40.8602150538 
Krauts               50.0 
treasuries           33.3333333333 
results              32.03125 
highways             30.4347826087 
Blowers              20.0 
centers              18.410041841 
inferences           36.3636363636 
luxuries             12.5 
detectives           25.3968253968 
renunciations        50.0 
curds                33.3333333333 
contours             71.4285714286 
Bottoms              1.23456790123 
hints                38.8888888889 
resources            88.4615384615 
Tories               35.2941176471 
recitals             33.3333333333 
dissents             28.5714285714 
petitions            27.2727272727 
minerals             50.0 
categories           51.0638297872 
Morals               0.709219858156 
Assessors            33.3333333333 
Turks                62.5 
seventies            20.0 
buckskins            12.5 
conjunctions         5.88235294118 
licenses             12.1951219512 
dynamics             16.0 
pajamas              75.0 
drugstores           16.6666666667 
Balkans              50.0 
twins                50.0 
Grudges              12.5 
firms                33.5365853659 
capes                57.1428571429 
slogans              45.4545454545 
Puppies              33.3333333333 
coops                25.0 
Lips                 5.26315789474 
residents            62.5 
makes                0.310880829016 
insecticides         66.6666666667 
outcomes             29.7297297297 
tools                46.4788732394 
excursions           50.0 
ministers            15.0943396226 
Heads                0.236406619385 
conditioners         25.0 
purposes             37.8723404255 
Gums                 6.66666666667 
dealings             14.0 
shoelaces            50.0 
Pilots               2.32558139535 
haircuts             33.3333333333 
balls                13.8211382114 
animals              42.8571428571 
dynasties            16.6666666667 
clients              40.0 
endearments          66.6666666667 
unknowns             2.08333333333 
publications         18.3333333333 
Scandinavians        33.3333333333 
Police               7.31707317073 
Diets                4.7619047619 
billboards           50.0 
Copies               2.5641025641 
pieces               41.8181818182 
tantrums             50.0 
Cultures             1.75438596491 
rods                 18.1818181818 
paws                 50.0 
Duties               1.61290322581 
pretexts             40.0 
lagoons              12.5 
wares                50.0 
easements            50.0 
courtiers            66.6666666667 
hormones             14.2857142857 
mysteries            15.9090909091 
palates              33.3333333333 
pales                1.69491525424 
Reprisals            25.0 
vineyards            80.0 
pigs                 42.8571428571 
graveyards           22.2222222222 
fits                 3.48837209302 
ties                 34.2105263158 
racks                10.0 
bellboys             33.3333333333 
reminders            20.0 
Results              1.50943396226 
commodities          74.0740740741 
midsts               5.0 
pyramids             33.3333333333 
intellectuals        15.5844155844 
volunteers           78.125 
emissaries           33.3333333333 
compulsions          11.1111111111 
winners              33.3333333333 
degrees              15.5405405405 
accompaniments       27.2727272727 
physicians           25.0 
designs              17.1641791045 
Attorneys            6.89655172414 
skippers             66.6666666667 
detergents           14.2857142857 
Extensions           2.85714285714 
Works                0.252206809584 
caucuses             33.3333333333 
outlines             27.7777777778 
hallmarks            50.0 
gallstones           50.0 
draftees             50.0 
onlookers            50.0 
traces               23.3333333333 
glasses              23.2 
suitors              75.0 
tents                33.3333333333 
bums                 22.2222222222 
lithographs          50.0 
salves               25.0 
stepmothers          40.0 
blocks               35.9223300971 
limousines           20.0 
Dances               1.16279069767 
motifs               38.4615384615 
waters               7.70877944325 
interactions         16.6666666667 
Canadians            33.3333333333 
monographs           50.0 
secants              57.1428571429 
gallons              50.0 
scars                50.0 
distinctions         26.7857142857 
nationalisms         5.40540540541 
chills               12.5 
shucks               33.3333333333 
jurists              40.0 
endowments           66.6666666667 
pines                12.5 
feasts               40.0 
privies              50.0 
occurrences          25.641025641 
collages             11.7647058824 
gatherings           20.0 
blows                7.31707317073 
onslaughts           33.3333333333 
decorations          50.0 
interests            19.804400978 
shorts               11.914893617 
Tempos               25.0 
beatings             13.3333333333 
laymen               66.6666666667 
incongruities        66.6666666667 
inscriptions         14.2857142857 
colleagues           71.875 
haystacks            50.0 
listeners            66.6666666667 
dissensions          25.0 
tortures             20.0 
twos                 0.142857142857 
kissings             14.2857142857 
stopovers            50.0 
separations          5.55555555556 
poisons              16.6666666667 
encyclopedias        50.0 
devotions            9.52380952381 
affinities           16.6666666667 
necessities          25.0 
documents            55.1724137931 
dishes               54.2857142857 
jurisdictions        3.57142857143 
mills                30.5555555556 
babes                30.0 
injunctions          62.5 
carcasses            12.5 
Prisoners            12.5 
monasteries          50.0 
uncertainties        22.7272727273 
taps                 5.26315789474 
hops                 33.3333333333 
lethargies           20.0 
buttons              50.0 
entities             52.380952381 
bombings             28.5714285714 
molecules            60.0 
preliminaries        7.69230769231 
capsules             37.5 
bonds                51.1111111111 
autos                12.5 
exchanges            7.8125 
hoses                20.0 
committees           15.4639175258 
taxes                18.7772925764 
shreds               62.5 
bidders              60.0 
textiles             36.5853658537 
coils                25.0 
Yanks                36.3636363636 
ends                 11.5879828326 
butts                23.5294117647 
strides              30.4347826087 
historians           36.170212766 
restrictions         77.1428571429 
handstands           50.0 
deficits             8.33333333333 
streams              17.7419354839 
trumps               50.0 
Cows                 9.67741935484 
